title,price,published_date,year,link,vin
New Listing2021 Cadillac CT5 PREMIUM LUXURY,"ILS 17,768.49",Nov-10 15:56,2021,https://www.ebay.com/itm/255821405846?hash=item3b9024de96:g:nl4AAOSw~YNjbY8O&amdata=enc%3AAQAHAAAAoGPNg%2BSAzk9KanXKJv7yYu81mWXMOhYTltq4ELnYi0iadd9g0WdiBKdf0NNl4OuPcPrHaecRjFf9Vi3qWV4AlOOCTs%2BQ9uYTiQFXbzwtY2dI1k3E5dZlPGh6PDw%2BtDEVMZx1H9y0q%2B9OEUjWWAVcpnIE6QK84jpTRVpaGTGf3n56JQ14BILklsLVSPx46rG34AdXtIdD0CecwtTLxFFNZpM%3D%7Ctkp%3ABk9SR5yWntWMYQ,1G6DT5RK1M0106248
New Listing2019 Cadillac XT4 Premium Luxury,"ILS 121,902.51",Nov-10 15:23,2019,https://www.ebay.com/itm/185652841592?hash=item2b39c58c78:g:U9QAAOSwS0RjRxna&amdata=enc%3AAQAHAAAAoDPXHm%2BdZNiKP5moiVsmmKae4aC2WXChGBVhxuj2m%2B8GC8Wvwu4r8dF46AF%2F%2BKY9PpY74WU7gbkdrns9TZRVmxMFx1F6tx0eS%2FYKVEaVwCFkEbKOlvzARe6yX17k4Y00sHfNlU%2BYGNmX4DEH59qAjF%2F1liSobcnCWjj%2F6RdPlYxIElTVt%2BEJQaWXadyK7BG0M2WyVCXHuHbkrHnZsCgiaNQ%3D%7Ctkp%3ABk9SR5yWntWMYQ,1GYFZDR4XKF137020
New Listing2019 Cadillac Escalade Luxury,"ILS 172,343.70",Nov-10 15:16,2019,https://www.ebay.com/itm/354386569693?hash=item528315e9dd:g:6~MAAOSwKCZjWrSp&amdata=enc%3AAQAHAAAAoDTFwLTOqgVOm4A48DF3TPF%2FPoBRtKr%2BL8e3A76T%2BDeqxciKOlMvXSvzYFBM6juhhBFxWvMbGTkVzx440D%2FwX5N4Vxy02Ga%2FiWIUko3HXBymVnzHj9bTXeGrZezKVEBrAJuXVMtqYq0Gq0LLi50tHZdAcoYwNs7mPdTKY%2FuffFfp2VoVfoCd72OwDFLZ6wlS6F%2FKjv2uTy8EvGgjZrZkKt0%3D%7Ctkp%3ABk9SR5yWntWMYQ,1GYS3HKJ7KR140706
New Listing1966 Eldorado ,"ILS 212,823.88",Nov-10 14:47,1966,https://www.ebay.com/itm/265983503111?hash=item3dedda2b07:g:KscAAOSwxY9jbX9p&amdata=enc%3AAQAHAAAAoJhMuGEP34WkgbR64gfpM7GP5g9fBpLffg9TrC19KHAt8%2BUpmN9aCYQ9caUPgdB%2FaWyVZiX%2FqY41%2FKfJro83YvyyOFzeYN56uGi%2FSEzCXrjxdMm1QQZOhOnkony9YkTv91ZCZKPlWLDBVQwkCLXUw6xcT9yqRkDULrS6KnsqPlhipJRNwFQQ6cjnJRAK1AyUQuUlCpSa6%2BoxXypxyx0iqtg%3D%7Ctkp%3ABk9SR5yWntWMYQ,E6117824
New Listing2021 Cadillac Escalade Sport Platinum,"ILS 426,440.23",Nov-10 13:53,2021,https://www.ebay.com/itm/125606969444?hash=item1d3ec24064:g:9sQAAOSwDWljbXKH&amdata=enc%3AAQAHAAAAoC3DQx1yHlVHljJd8XbZjchMq8WNtAQpOYv4kDIWBg3ghRfuQmv4I4fGJ6E9jS5zoodaZ9eCPWTPEKwZPXGJiJBK0Dnr2JJl%2Fx5FAjzV6B3oSheV50J0r18Yejw8TkypDBJITfvEX6CHCSauOnEo2C%2BvGTeS9%2FkNPxUFRYnt2ESrj%2FFJbbzN6t2SI8LfT69U8LjRGHxoNvjqplTz%2F%2FqPOko%3D%7Ctkp%3ABk9SR5yWntWMYQ,1GYS3RKL3MR184079
New Listing1970 Cadillac DeVille ,"ILS 60,409.31",Nov-10 13:46,1970,https://www.ebay.com/itm/255821263293?hash=item3b9022b1bd:g:ELsAAOSw2gVh6LqP&amdata=enc%3AAQAHAAAAoP8q21CTNCG%2FiB74knngWLP1s9sbEOWt5JR6NhKTDe3HuqxujxsNlstowF3Uuq%2FQWilc6nTHmSKJ%2B1yHfW%2FOTEZ22Suh5hj5VIKrAMwepGX2%2B6txTL2%2FtTnywAxM%2FCDWtvcmJkkwW5FU8OfbMF7dIJs8mNAy09Iisf0uWmd%2FKbOLg1%2F45DJy5L40vPm8XkE%2FGWx6fvguEhwsaDXFPVlTVFk%3D%7Ctkp%3ABk9SR5yWntWMYQ,J0157295
New Listing2021 Cadillac Escalade Premium Luxury Platinum,"ILS 341,098.16",Nov-10 13:20,2021,https://www.ebay.com/itm/265983425970?hash=item3dedd8fdb2:g:4GoAAOSwWK5jHkO8&amdata=enc%3AAQAHAAAAoDBiil7bVDGCOtDsihZAiu1XuHq7ZF9ielde5ZD%2FpLKaNSybWahXyLk06TLRLXdXNCj4FccL2a1th5RR937tfOXgeQMUJpTQ2vbi0MIfr3TxRlU%2FfzVgwV5yf69oZZIXpxu5DHDfD9sjjouX2MsBm%2Bp8nXFBmFyMb56825bVnigPouommGQQsYn4UoDWsurqJKuY3H%2B22qOIYA0mXXLTX0Y%3D%7Ctkp%3ABk9SR5yWntWMYQ,1GYS3DKL0MR229403
New Listing2018 Cadillac Escalade Premium,"ILS 248,755.32",Nov-10 13:20,2018,https://www.ebay.com/itm/175484877070?hash=item28dbb6b90e:g:Te8AAOSwX35jbWrq&amdata=enc%3AAQAHAAAAoGw1E%2B0nrBQcBk48xFMtB8UnF8H3XCL4%2FkUfcd0l3lZxNujrLvUTcjnCdfAAHo%2BQrfSGgUz30fGvq%2FZaOjspFGhchwxTgdT0MWjOkQ7QFi%2F%2FiVe4F9Ev%2BMYKTX88qkZSrQcymuKTUEIYJlW0qJOR6ef2ooH1%2FG4mRAObQG41OoGCH%2F3LumoDflM04vtG%2BxbU7kiVjihY75A6vhtS8v3qp1U%3D%7Ctkp%3ABk9SR5yWntWMYQ,1GYS4JKJ5JR238961
New Listing2023 Cadillac XT6 Premium Luxury,"ILS 204,213.26",Nov-10 13:19,2023,https://www.ebay.com/itm/325419365989?hash=item4bc4817665:g:rpUAAOSwAVtjZgQH&amdata=enc%3AAQAHAAAAoPbmPCMUFGtxqYVvnmUX%2F5GFbQR4eXX7gHMs7cV6ZLXhBaCe2ue823WbRSutEA9WXCsaOw8KZ7mLGzHlhepVjBT5uEdbg%2FbrSjr44WnagEG%2F0WmGS%2BYkFZxEeQMyZLLHdH73lSKdl2kebqDqqOcqAw0y1zLx2N3aUhmmiS4x85daydV0WF1PnVdLueCYjNDVXA9nUWDvNsPmB4ocSL%2F6A2E%3D%7Ctkp%3ABk9SR5yWntWMYQ,1GYKPDRS6PZ114732
New Listing2017 Cadillac Escalade Premium Luxury,"ILS 152,766.38",Nov-10 13:19,2017,https://www.ebay.com/itm/155249953466?hash=item24259e4aba:g:KC8AAOSwwsNjbWan&amdata=enc%3AAQAHAAAAoEsVHbBp8Ag4Pyr%2Fu8%2FSgvp2G6Qx5lkuD4TBhuRLhlYelBCQ7t%2FVQWDyNGSdsxBlgpijPr9fRY%2B3WAUfHGiZw5OSif0n%2Bqu9nfuJNBoYJW68k2bZIlGUxbrplWF5osWg%2Fj1aElI8LVBBHd%2BdSbzuhy5D%2BpjJARmJ4afmTQoH1BH%2FaaTUnStqtK3raPDdua9IIkjOtAww8%2BUGxGpoGA7ELEg%3D%7Ctkp%3ABk9SR5yWntWMYQ,1GYS4CKJ2HR300970
